thread_id,topic,intent,inbound,brand_reply
t11,cancellation,cancellation,"@customer: @AmericanAir cancelled on me at gate DFW, rebook options?",Sorry your flight AA2698 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t12,cancellation,cancellation,@customer: cancelled on me at gate dca rebook options? pls help asap,Sorry your flight AA2613 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t13,complaint service,complaint_service,"@customer: @AmericanAir discriminated at gate DFW, want supervisor + case",I am sorry you experienced this on AA2067. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t14,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA700.
t15,baggage,baggage,"@customer: charged $75 bag fee but told free, flight AA2318, refund?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t16,baggage,baggage,"@customer: charged $75 bag fee but told free, flight AA2118, refund?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t17,checkin boarding,checkin_boarding,"@customer: @AmericanAir boarding pass wont load, gate 59 at DCA","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t18,cancellation,cancellation,"@customer: flight AA591 cancelled, stranded in JFK tonight, help",Sorry your flight AA591 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t19,loyalty account,loyalty_account,"@customer: @AmericanAir cant login AAdvantage, reset not working",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t20,complaint service,complaint_service,"@customer: never flying again, worst service AA1535, filing DOT complaint",I am sorry you experienced this on AA1535. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t21,baggage,baggage,"@customer: @AmericanAir bag missing since yesterday flight AA214 at DFW, tag JKHUJP",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t22,complaint service,complaint_service,"@customer: never flying again, worst service AA2489, filing DOT complaint",I am sorry you experienced this on AA2489. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t23,booking change,booking_change,"@customer: change name spelling on reservation 2EEVDB, how?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t24,praise other,praise_other,"@customer: @AmericanAir thanks crew on AA1117, great landing in DCA!",Thanks for flying with us! Let us know if you need anything on AA1117.
t25,praise other,praise_other,@customer: do you fly to LAX direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA2197.
t26,baggage,baggage,"@customer: @AmericanAir damaged suitcase on AA661, claim process?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t27,checkin boarding,checkin_boarding,"@customer: @AmericanAir cant check in flight AA1136, app error, leaves in 2 hours","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t28,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA1489.
t29,refund compensation,refund_compensation,"@customer: trip credit not received for AA363, booking D7H6CJ","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t30,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA1159 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t31,refund compensation,refund_compensation,@customer: @AmericanAir refund for cancelled AA2698? nonrefundable but you cancelled,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t32,refund compensation,refund_compensation,"@customer: trip credit not received for AA629, booking BY89JF","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t33,refund compensation,refund_compensation,@customer: @AmericanAir want voucher for 5hr delay AA2148 in ORD,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t34,complaint service,complaint_service,"@customer: @AmericanAir crew on AA2796 was rude to my mother, unacceptable",I am sorry you experienced this on AA2796. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t35,booking change,booking_change,@customer: @AmericanAir can I switch seat / add bag on booking 94AW6P?,You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t36,praise other,praise_other,@customer: do you fly to CLT direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA1254.
t37,flight delay,flight_delay,"@customer: @AmericanAir stuck at DFW, delay again, crew says 5hr wait, what now?",Sorry for the delay on AA992. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t38,cancellation,cancellation,"@customer: @AmericanAir you cancelled flight AA1736 to PHX today, need rebook ASAP",Sorry your flight AA1736 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t39,complaint service,complaint_service,"@customer: @AmericanAir crew on AA1263 was rude to my mother, unacceptable",I am sorry you experienced this on AA1263. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t40,praise other,praise_other,@customer: do you fly to DFW direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA165.
t41,cancellation,cancellation,"@customer: @AmericanAir cancelled on me at gate JFK, rebook options?",Sorry your flight AA1948 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t42,complaint service,complaint_service,"@customer: @AmericanAir discriminated at gate JFK, want supervisor + case",I am sorry you experienced this on AA404. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t43,refund compensation,refund_compensation,@customer: @AmericanAir refund for cancelled AA2627? nonrefundable but you cancelled,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t44,complaint service,complaint_service,"@customer: @AmericanAir discriminated at gate ORD, want supervisor + case",I am sorry you experienced this on AA2852. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t45,complaint service,complaint_service,@customer: crew on aa1286 was rude to my mother unacceptable pls help asap,I am sorry you experienced this on AA1286. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t46,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA1572.
t47,complaint service,complaint_service,"@customer: never flying again, worst service AA1946, filing DOT complaint",I am sorry you experienced this on AA1946. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t48,baggage,baggage,"@customer: charged $75 bag fee but told free, flight AA148, refund?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t49,flight delay,flight_delay,"@customer: @AmericanAir stuck at ORD, delay again, crew says 3hr wait, what now?",Sorry for the delay on AA516. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t50,loyalty account,loyalty_account,"@customer: @AmericanAir miles missing for flight AA2684, AAdvantage N6TGC7",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t51,refund compensation,refund_compensation,@customer: @AmericanAir want voucher for 5hr delay AA300 in LAX,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t52,refund compensation,refund_compensation,@customer: @AmericanAir want voucher for 5hr delay AA2382 in ORD,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t53,complaint service,complaint_service,@customer: discriminated at gate ord want supervisor + case pls help asap,I am sorry you experienced this on AA671. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t54,loyalty account,loyalty_account,"@customer: @AmericanAir cant login AAdvantage, reset not working",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t55,baggage,baggage,"@customer: @AmericanAir bag missing since yesterday flight AA1210 at MIA, tag 6NWPK4",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t56,complaint service,complaint_service,"@customer: never flying again, worst service AA2106, filing DOT complaint",I am sorry you experienced this on AA2106. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t57,praise other,praise_other,@customer: do you fly to DFW direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA546.
t58,flight delay,flight_delay,"@customer: AA AA1344 delayed, need hotel tonight in ORD, who pays?",Sorry for the delay on AA1344. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t59,flight delay,flight_delay,"@customer: @AmericanAir flight AA2301 delayed 2hrs, will I miss my connection in ORD?",Sorry for the delay on AA2301. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t60,refund compensation,refund_compensation,@customer: refund for cancelled aa189? nonrefundable but you cancelled pls help asap,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t61,checkin boarding,checkin_boarding,@customer: what gate for AA1822 at ORD? boarding group 4 when?,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t62,baggage,baggage,"@customer: @AmericanAir bag missing since yesterday flight AA2005 at DCA, tag H2K8RF",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t63,flight delay,flight_delay,"@customer: AA AA699 delayed, need hotel tonight in PHX, who pays?",Sorry for the delay on AA699. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t64,checkin boarding,checkin_boarding,@customer: what gate for AA563 at LAX? boarding group 4 when?,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t65,checkin boarding,checkin_boarding,"@customer: @AmericanAir boarding pass wont load, gate 23 at PHX","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t66,refund compensation,refund_compensation,@customer: @AmericanAir want voucher for 5hr delay AA459 in DFW,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t67,loyalty account,loyalty_account,"@customer: @AmericanAir miles missing for flight AA1638, AAdvantage BC7JZ6",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t68,flight delay,flight_delay,"@customer: @AmericanAir stuck at DFW, delay again, crew says 1hr wait, what now?",Sorry for the delay on AA2924. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t69,complaint service,complaint_service,"@customer: never flying again, worst service AA2007, filing DOT complaint",I am sorry you experienced this on AA2007. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t70,refund compensation,refund_compensation,"@customer: trip credit not received for AA719, booking VLLM3C","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t71,loyalty account,loyalty_account,@customer: miles missing for flight aa2760 aadvantage btl969 pls help asap,Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t72,complaint service,complaint_service,"@customer: never flying again, worst service AA1930, filing DOT complaint",I am sorry you experienced this on AA1930. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t73,refund compensation,refund_compensation,@customer: want voucher for 5hr delay aa2421 in ord pls help asap,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t74,refund compensation,refund_compensation,@customer: @AmericanAir refund for cancelled AA2178? nonrefundable but you cancelled,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t75,refund compensation,refund_compensation,@customer: @AmericanAir refund for cancelled AA588? nonrefundable but you cancelled,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t76,flight delay,flight_delay,"@customer: @AmericanAir flight AA2711 delayed 3hrs, will I miss my connection in DFW?",Sorry for the delay on AA2711. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t77,baggage,baggage,@customer: bag missing since yesterday flight aa1440 at jfk tag pmvcbr pls help asap,Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t78,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA2353 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t79,refund compensation,refund_compensation,"@customer: trip credit not received for AA2420, booking 6PA23W","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t80,loyalty account,loyalty_account,"@customer: @AmericanAir miles missing for flight AA1835, AAdvantage DCUM2E",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t81,loyalty account,loyalty_account,"@customer: @AmericanAir miles missing for flight AA2446, AAdvantage VMSEKS",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t82,baggage,baggage,"@customer: @AmericanAir damaged suitcase on AA618, claim process?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t83,baggage,baggage,"@customer: charged $75 bag fee but told free, flight AA1756, refund?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t84,baggage,baggage,"@customer: charged $75 bag fee but told free, flight AA888, refund?",Sorry about your bag. Please file a report at aa.com/baggage within 4 hrs and track in the app; keep receipts for essentials. DM your tag/record locator.
t85,refund compensation,refund_compensation,"@customer: trip credit not received for AA1820, booking KHNMSF","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t86,complaint service,complaint_service,"@customer: @AmericanAir crew on AA2038 was rude to my mother, unacceptable",I am sorry you experienced this on AA2038. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t87,cancellation,cancellation,@customer: flight aa1385 cancelled stranded in dfw tonight help pls help asap,Sorry your flight AA1385 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t88,cancellation,cancellation,"@customer: @AmericanAir you cancelled flight AA639 to JFK today, need rebook ASAP",Sorry your flight AA639 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t89,refund compensation,refund_compensation,@customer: @AmericanAir refund for cancelled AA1426? nonrefundable but you cancelled,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t90,checkin boarding,checkin_boarding,"@customer: @AmericanAir boarding pass wont load, gate 50 at JFK","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t91,checkin boarding,checkin_boarding,"@customer: @AmericanAir boarding pass wont load, gate 17 at CLT","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t92,checkin boarding,checkin_boarding,@customer: what gate for AA698 at LAX? boarding group 4 when?,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t93,checkin boarding,checkin_boarding,@customer: what gate for AA107 at MIA? boarding group 4 when?,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t94,flight delay,flight_delay,"@customer: @AmericanAir flight AA322 delayed 5hrs, will I miss my connection in MIA?",Sorry for the delay on AA322. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t95,complaint service,complaint_service,"@customer: @AmericanAir crew on AA651 was rude to my mother, unacceptable",I am sorry you experienced this on AA651. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t96,flight delay,flight_delay,"@customer: @AmericanAir flight AA2741 delayed 4hrs, will I miss my connection in ORD?",Sorry for the delay on AA2741. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t97,flight delay,flight_delay,"@customer: @AmericanAir flight AA2277 delayed 6hrs, will I miss my connection in ORD?",Sorry for the delay on AA2277. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t98,praise other,praise_other,@customer: do you fly to DCA direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA2732.
t99,loyalty account,loyalty_account,"@customer: @AmericanAir cant login AAdvantage, reset not working",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t100,refund compensation,refund_compensation,"@customer: trip credit not received for AA315, booking JTP3SJ","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t101,flight delay,flight_delay,"@customer: @AmericanAir flight AA1166 delayed 4hrs, will I miss my connection in CLT?",Sorry for the delay on AA1166. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t102,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA2033.
t103,cancellation,cancellation,"@customer: flight AA802 cancelled, stranded in DFW tonight, help",Sorry your flight AA802 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t104,flight delay,flight_delay,"@customer: AA AA377 delayed, need hotel tonight in JFK, who pays?",Sorry for the delay on AA377. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t105,loyalty account,loyalty_account,@customer: miles missing for flight aa1109 aadvantage gdb53w pls help asap,Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t106,cancellation,cancellation,"@customer: flight AA939 cancelled, stranded in CLT tonight, help",Sorry your flight AA939 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t107,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA1278.
t108,cancellation,cancellation,"@customer: flight AA1276 cancelled, stranded in JFK tonight, help",Sorry your flight AA1276 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t109,booking change,booking_change,@customer: @AmericanAir can I switch seat / add bag on booking M4J8KG?,You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t110,cancellation,cancellation,"@customer: @AmericanAir cancelled on me at gate JFK, rebook options?",Sorry your flight AA2955 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t111,flight delay,flight_delay,"@customer: @AmericanAir stuck at MIA, delay again, crew says 4hr wait, what now?",Sorry for the delay on AA944. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t112,flight delay,flight_delay,"@customer: @AmericanAir stuck at LAX, delay again, crew says 4hr wait, what now?",Sorry for the delay on AA2482. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t113,checkin boarding,checkin_boarding,"@customer: @AmericanAir boarding pass wont load, gate 16 at MIA","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t114,praise other,praise_other,"@customer: @AmericanAir love the new app, smooth checkin",Thanks for flying with us! Let us know if you need anything on AA759.
t115,booking change,booking_change,@customer: @AmericanAir can I switch seat / add bag on booking PGWDGN?,You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t116,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA1011 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t117,loyalty account,loyalty_account,"@customer: @AmericanAir miles missing for flight AA2835, AAdvantage Z62Y5X",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t118,refund compensation,refund_compensation,@customer: trip credit not received for aa2969 booking dp3ywj pls help asap,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t119,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA2865 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t120,booking change,booking_change,"@customer: change name spelling on reservation SDUTYS, how?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t121,complaint service,complaint_service,"@customer: @AmericanAir crew on AA2903 was rude to my mother, unacceptable",I am sorry you experienced this on AA2903. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t122,flight delay,flight_delay,"@customer: @AmericanAir flight AA1814 delayed 4hrs, will I miss my connection in ORD?",Sorry for the delay on AA1814. Please check live status in the American app and speak to the gate agent about rebooking/meal voucher if 3+ hrs (aa.com/manage). DM your record locator and I can walk you through options.
t123,complaint service,complaint_service,"@customer: @AmericanAir crew on AA773 was rude to my mother, unacceptable",I am sorry you experienced this on AA773. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t124,loyalty account,loyalty_account,"@customer: @AmericanAir cant login AAdvantage, reset not working",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t125,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA861 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t126,checkin boarding,checkin_boarding,@customer: cant check in flight aa1341 app error leaves in 2 hours pls help asap,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t127,cancellation,cancellation,"@customer: flight AA1300 cancelled, stranded in ORD tonight, help",Sorry your flight AA1300 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t128,praise other,praise_other,"@customer: @AmericanAir thanks crew on AA2596, great landing in ORD!",Thanks for flying with us! Let us know if you need anything on AA2596.
t129,praise other,praise_other,"@customer: @AmericanAir thanks crew on AA1896, great landing in DFW!",Thanks for flying with us! Let us know if you need anything on AA1896.
t130,booking change,booking_change,"@customer: change name spelling on reservation HFVZFL, how?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t131,complaint service,complaint_service,"@customer: @AmericanAir discriminated at gate DFW, want supervisor + case",I am sorry you experienced this on AA1844. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t132,checkin boarding,checkin_boarding,"@customer: @AmericanAir cant check in flight AA2191, app error, leaves in 2 hours","Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
t133,praise other,praise_other,@customer: do you fly to PHX direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA963.
t134,refund compensation,refund_compensation,"@customer: trip credit not received for AA1512, booking 9W3LLK","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t135,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA2370 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t136,praise other,praise_other,@customer: do you fly to DCA direct from DFW?,Thanks for flying with us! Let us know if you need anything on AA1640.
t137,cancellation,cancellation,"@customer: flight AA842 cancelled, stranded in LAX tonight, help",Sorry your flight AA842 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t138,refund compensation,refund_compensation,@customer: refund for cancelled aa1827? nonrefundable but you cancelled pls help asap,"If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t139,loyalty account,loyalty_account,"@customer: gold status not showing, flight AA2949 tomorrow",Miles post within 48 hrs; request missing miles at aa.com/missingmiles with ticket number. DM details (never share password).
t140,cancellation,cancellation,"@customer: @AmericanAir you cancelled flight AA2739 to ORD today, need rebook ASAP",Sorry your flight AA2739 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t141,complaint service,complaint_service,"@customer: @AmericanAir crew on AA1228 was rude to my mother, unacceptable",I am sorry you experienced this on AA1228. I am escalating to a human specialist with a case number. Please DM your record locator + details.
t142,refund compensation,refund_compensation,"@customer: trip credit not received for AA2383, booking YQ7J8Y","If we cancelled, you may choose refund or trip credit at aa.com/refunds (refundable to original payment within 7 days). DM your record locator."
t143,cancellation,cancellation,"@customer: @AmericanAir cancelled on me at gate DCA, rebook options?",Sorry your flight AA1374 was cancelled. You can rebook free on the next available American flight at aa.com/manage or in the app. DM your record locator for help.
t144,booking change,booking_change,"@customer: @AmericanAir need to change flight AA1587 to tomorrow, fare difference?",You can change most main-cabin+ tickets at aa.com/manage (fare difference may apply). DM your record locator and new date and I will outline exact steps.
t145,checkin boarding,checkin_boarding,@customer: what gate for AA163 at PHX? boarding group 4 when?,"Check in from 24 hrs in the app; gates close 15 min before departure. Try app refresh, or kiosk with confirmation code. DM your record locator if still blocked."
